0,1,2
32,34,13
20,25,24
12,32,13
9,31,11
30,24,25
14,32,0
22,23,28
22,27,8
16,23,19
16,24,23
9,11,10
32,11,31
12,11,32
3,2,33
3,33,30
30,29,24
26,30,25
30,26,3
23,24,29
31,28,29
22,28,27
33,31,29
23,29,28
9,27,28
9,28,31
33,32,31
33,0,32
30,33,29
0,2,1
0,33,2
14,34,32
16,15,6
17,16,6
16,19,15
16,17,20
16,20,24
20,17,5
20,21,25
20,5,21
25,4,26
25,21,4
22,18,19
22,19,23
7,19,18
7,15,19
18,22,8
