x,y,flag
0.4317234101392189,0.5029517097952885,1
0.4376811104668925,0.523532856381797,1
0.4485132928808443,0.5175751560541236,1
0.4598870844154938,0.5256992928645874,1
0.4831762766054903,0.5349066479164465,1
0.4945500681401397,0.5365314752785392,1
0.4956332863815348,0.5451972212097007,1
0.5005077684678132,0.5468220485717934,1
0.5015909867092084,0.5506133124166767,1
0.5091735143989746,0.5419475664855152,1
0.5248801788992049,0.5419475664855152,1
0.5335459248303663,0.5468220485717934,1
0.5405868433994351,0.5527797488994671,1
0.5470861528478062,0.5484468759338863,1
0.557918335261758,0.5495300941752814,1
0.5687505176757099,0.5506133124166767,1
0.5682089085550123,0.5403227391234224,1
0.589873273382916,0.5435723938476079,1
0.5974558010726823,0.5338234296750513,1
0.6088295926073317,0.5251576837438898,1
0.6180369476591908,0.518116765174821,1
0.6294107391938403,0.5116174557264499,1
0.6294107391938403,0.4991604459504054,1
0.6375348760043041,0.4861618270536632,1
0.6451174036940703,0.479662517605292,1
0.651075104021744,0.4693719443120377,1
0.6591992408322078,0.4704551625534329,1
0.6700314232461597,0.4644974622257594,1
0.6792387782980188,0.4579981527773882,1
0.686821305987785,0.4536652798118075,1
0.6938622245568538,0.4444579247599485,1
0.7014447522466201,0.4336257423459967,1
0.7068608434535959,0.4303760876218112,1
0.7149849802640599,0.4303760876218112,1
0.7263587552701106,0.4309176967425087,1
0.7415238106496433,0.4276680420183231,1
0.7610217389947566,0.4244183872941375,1
0.7788948399777771,0.4200855143285568,1
0.7929766771159146,0.418460686966464,1
0.8043504686505639,0.4146694231215808,1
0.8157242601852135,0.4152110322422785,1
0.8298060973233508,0.4125029866387905,1
0.8476791983063714,0.4081701136732097,1
0.8650106901686945,0.4043788498283266,1
0.8763844817033438,0.3995043677420483,1
0.8866750549965982,0.3935466674143748,1
0.8953408009277596,0.3843393123625157,1
0.9012985012554332,0.3702574752243782,1
0.9061729833417114,0.3561756380862408,1
0.9061729833417114,0.3383025371032204,1
0.9148387292728728,0.3345112732583372,1
0.9224212569626392,0.3231374817236878,1
0.9310870028938006,0.3090556445855503,1
0.9375863123421718,0.2971402439302033,1
0.9392111397042646,0.2792671429471827,1
0.9408359670663572,0.2613940419641621,1
0.938669530583567,0.2538115142743958,1
0.9289205664110104,0.2521866869123031,1
0.9175467748763608,0.2494786413088151,1
0.8996736738933402,0.2489370321881175,1
0.8845086185138077,0.2505618595502103,1
0.8709683904963679,0.2521866869123031,1
0.8498456347891618,0.2565195598778838,1
0.8357637976510244,0.2581443872399766,1
0.8195155240300966,0.2586859963606742,1
0.797851159202193,0.257602778119279,1
0.7740203578914988,0.2586859963606742,1
0.7496479474601072,0.2641020875676501,1
0.7333996738391795,0.2630188693262549,1
0.7182346184596468,0.2581443872399766,1
0.7030695630801141,0.2559779507571862,1
0.6911541624247671,0.2543531233950935,1
0.6792387617694201,0.2440625501018391,1
0.6716562340796539,0.2343135859292826,1
0.6635320972691899,0.2261894491188187,1
0.6619072699070971,0.2152489382692878,1
0.6613656607863996,0.2076664105795215,1
0.6656985337519803,0.201708710251848,1
0.6689481884761659,0.1946677916827794,1
0.666240142872678,0.1881684822344082,1
0.6689481884761659,0.1822107819067346,1
0.6689481884761659,0.1730034268548755,1
0.6667817519933755,0.1616296353202261,1
0.6721978432003514,0.1572967623546454,1
0.6797803708901178,0.1470061890613911,1
0.681946807372908,0.1395319898072037,1
